  Date,StartTime,EndTime,Instrument,Signal,Strategy,EntryPrice,ExitPrice,PnL,Reason
1/12/2025,1:55:34 pm,2:01:20 pm,NSE:NIFTY25D0226350CE,NEUTRAL,Iron Condor,17.45,19.20,1.75,TARGET (10%)
1/12/2025,2:42:56 pm,2:51:53 pm,NSE:NIFTY25D0226200CE,BULL,Bull Call Spread,26185.6,26200,61.45,48.80,-12.65,STOP LOSS (20%)
1/12/2025,2:53:14 pm,3:02:49 pm,NSE:NIFTY25D0226300CE,NEUTRAL,Iron Condor,26149.7,26300,20.15,22.75,2.60,TARGET (10%)
2/12/2025,9:31:16 am,9:32:57 am,NSE:NIFTY25D0226300CE,NEUTRAL,Iron Condor,26114.55,26300,6.70,7.70,1.00,TARGET (10%)
2/12/2025,12:28:07 pm,12:35:25 pm,BSE:SENSEX25D0485800CE,NEUTRAL,Iron Condor,85267.29,85800,140.65,155.35,14.70,TARGET (10%)
2/12/2025,12:38:38 pm,12:44:52 pm,BSE:SENSEX25D0485300PE,BEAR,Bear Put Spread,85315,85300,251.90,277.45,25.55,TARGET (10%)
10/12/2025,undefined,1:36:21 pm,NSE:NIFTY25D1626000CE,undefined,Bear Call Spread,undefined,26000,66.05,72.80,6.75,TARGET (10%)
10/12/2025,N/A,1:56:33 pm,NSE:NIFTY25D1625750PE,N/A,Iron Butterfly,0,25750,85.85,94.45,8.60,TARGET (10%)
<<<<<<< HEAD
2/1/2026,3:00:40 pm,3:00:40 pm,NSE:NIFTY2610626150PE,N/A,Bull Put Spread,0,26150,22.00,17.45,-4.55,STOP LOSS (20%)
=======
9/1/2026,3:07:57 pm,3:07:57 pm,NSE:NIFTY2611325650CE,N/A,Bull Call Spread,0,25650,118.50,131.70,13.20,TARGET (10%)
9/1/2026,3:28:38 pm,3:28:38 pm,NSE:NIFTY2611325700CE,N/A,Bull Call Spread,0,25700,100.75,111.35,10.60,TARGET (10%)
>>>>>>> c6ca139213d053f61141e042731d164e465cdc13
12/1/2026,1:02:46 pm,1:02:46 pm,NSE:NIFTY2611325700PE,N/A,Bull Put Spread,0,25700,80.05,88.25,8.20,TARGET (10%)
22/1/2026,1:29:31 pm,1:29:31 pm,BSE:SENSEX2612281100PE,N/A,Iron Condor,0,81100,12.00,13.45,1.45,TARGET (10%)
22/1/2026,1:29:45 pm,1:29:45 pm,BSE:SENSEX2612282300CE,N/A,Iron Condor,0,82300,41.50,37.25,4.25,TARGET (10%)
22/1/2026,1:30:18 pm,1:30:18 pm,BSE:SENSEX2612281500PE,N/A,Iron Condor,0,81500,35.85,43.50,-7.65,STOP LOSS (20%)
22/1/2026,1:32:40 pm,1:32:40 pm,BSE:SENSEX2612282700CE,N/A,Iron Condor,0,82700,11.60,12.80,1.20,TARGET (10%)
22/1/2026,1:33:12 pm,1:33:12 pm,NSE:MIDCPNIFTY26JAN13450CE,N/A,Iron Condor,0,13450,32.35,35.85,3.50,TARGET (10%)
22/1/2026,1:33:12 pm,1:33:12 pm,NSE:MIDCPNIFTY26JAN13150PE,N/A,Iron Condor,0,13150,66.15,59.45,6.70,TARGET (10%)
22/1/2026,1:35:59 pm,1:35:59 pm,NSE:MIDCPNIFTY26JAN13350CE,N/A,Iron Condor,0,13350,57.85,69.55,-11.70,STOP LOSS (20%)
25/1/2026,8:33:26 pm,8:33:26 pm,NSE:NIFTY24JAN21600CE,N/A,Bull Call Spread,0,21600,0.00,0.20,-0.20,STOP LOSS (15%)
25/1/2026,8:34:00 pm,8:34:00 pm,NSE:NIFTY24JAN21600CE,N/A,Bull Call Spread,0,21600,0.00,0.20,-0.20,STOP LOSS (15%)
